ethn..sa_id,ethn..total_persons,ethn..ethnic_group_e_s_w_white_unit_persons,ethn..ethnic_group_e_s_w_white_gypsy_or_irish_traveller_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_indian_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_pakistani_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_bangladeshi_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_chinese_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_other_asian_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_any_other_ethnic_group_unit_persons,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
S00093602,100,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0
S00093603,68,68,0,0,0,0,0,0,0,0,0,68,0,0,0,0
S00093604,85,84,1,0,0,0,0,0,0,0,0,85,0,0,0,0
S00093605,98,98,0,0,0,0,0,0,0,0,0,98,0,0,0,0
S00093606,63,58,0,0,4,0,0,0,1,0,0,58,0,5,0,0
S00093607,113,101,0,0,4,3,1,2,0,2,0,101,2,10,0,0
S00093608,189,187,0,0,2,0,0,0,0,0,0,187,0,2,0,0
S00093609,78,76,0,0,1,0,0,1,0,0,0,76,0,2,0,0
S00093610,106,104,1,0,0,0,0,1,0,0,0,105,0,1,0,0
S00093611,148,145,0,2,0,0,0,1,0,0,0,145,0,1,2,0
S00093612,111,111,0,0,0,0,0,0,0,0,0,111,0,0,0,0
S00093613,123,120,3,0,0,0,0,0,0,0,0,123,0,0,0,0
S00093614,108,106,0,0,0,0,0,2,0,0,0,106,0,2,0,0
S00093615,109,105,0,2,1,0,0,0,1,0,0,105,0,2,2,0
S00093616,106,105,0,0,0,0,0,0,0,1,0,105,1,0,0,0
S00093617,84,84,0,0,0,0,0,0,0,0,0,84,0,0,0,0
S00093618,102,94,1,0,0,0,0,7,0,0,0,95,0,7,0,0
S00093619,95,91,0,0,0,0,0,0,4,0,0,91,0,4,0,0
S00093620,104,102,0,0,0,0,0,2,0,0,0,102,0,2,0,0
S00093621,129,125,0,0,0,0,1,3,0,0,0,125,0,4,0,0
S00093622,72,71,0,1,0,0,0,0,0,0,0,71,0,0,1,0
S00093623,86,84,0,1,0,0,0,1,0,0,0,84,0,1,1,0
S00093624,67,65,1,0,1,0,0,0,0,0,0,66,0,1,0,0
S00093625,84,79,1,0,0,0,0,0,4,0,0,80,0,4,0,0
S00093626,110,107,0,1,0,0,0,0,0,1,1,107,1,0,1,1
S00093627,83,83,0,0,0,0,0,0,0,0,0,83,0,0,0,0
S00093628,73,69,4,0,0,0,0,0,0,0,0,73,0,0,0,0
S00093629,94,94,0,0,0,0,0,0,0,0,0,94,0,0,0,0
S00093630,143,140,2,0,0,0,0,1,0,0,0,142,0,1,0,0
S00093631,85,85,0,0,0,0,0,0,0,0,0,85,0,0,0,0
S00093632,157,156,0,0,1,0,0,0,0,0,0,156,0,1,0,0
S00093633,164,162,0,0,0,0,0,0,2,0,0,162,0,2,0,0
